,pace_lap,num_laps,num_stints,overall_speed,GridPosition,Position,points finish?,finish?,top six finish?,places made
RIC_2019_Abu Dhabi,0.295254824286876,-2.3934911222994524,-0.9763760057117428,-0.20175061320620377,7.0,11.0,0,1,0,-4.0
BOT_2019_Abu Dhabi,1.6488250364770713,0.4059136991034157,1.0577406728543877,-0.475750986430572,20.0,4.0,1,1,1,16.0
RUS_2019_Abu Dhabi,-1.3820659569396043,0.8258244223138459,1.8713873442808397,-0.2613174839095247,18.0,17.0,0,1,0,1.0
SAI_2019_Abu Dhabi,-0.16092436828766526,1.3857053865944196,0.2440940014279355,0.46817884313924046,8.0,10.0,1,1,0,-2.0
HAM_2019_Abu Dhabi,1.5730771649507764,0.5458839401735591,-0.5695526699985166,-0.12842842977477387,1.0,1.0,1,1,1,0.0
VER_2019_Abu Dhabi,1.609291675693367,0.12597321696312888,-0.9763760057117428,-0.7261340349054479,2.0,2.0,1,1,1,0.0
HUL_2019_Abu Dhabi,-0.14433011808216736,-0.15396726517715795,0.2440940014279355,-0.14368983008677383,9.0,12.0,0,1,0,-3.0
KVY_2019_Abu Dhabi,-0.3130057907592644,0.8258244223138459,0.2440940014279355,0.63247855949508,13.0,9.0,1,1,0,4.0
ALB_2019_Abu Dhabi,0.47453780134655116,0.6858541812437026,0.2440940014279355,0.08941342120022544,5.0,6.0,1,1,1,-1.0
MAG_2019_Abu Dhabi,-0.04086008738904314,-0.5738779883875882,-0.5695526699985166,0.8733817132406482,14.0,14.0,0,1,0,0.0
STR_2019_Abu Dhabi,-0.08166242024727231,0.6858541812437026,-1.3831993414249688,-0.56103046570407,12.0,20.0,0,0,0,-8.0
LEC_2019_Abu Dhabi,0.37380094127550323,-0.29393750624730136,1.4645640085676137,1.136474405349925,3.0,3.0,1,1,1,0.0
PER_2019_Abu Dhabi,-0.057942403777058143,-0.15396726517715795,-0.9763760057117428,-0.10181818524795977,10.0,7.0,1,1,0,3.0
GAS_2019_Abu Dhabi,0.19926847440822884,0.4059136991034157,0.2440940014279355,0.2720516851555845,11.0,18.0,0,1,0,-7.0
GRO_2019_Abu Dhabi,0.22489194899024442,-2.6734316044397395,-1.3831993414249688,0.3654456813413837,15.0,15.0,0,1,0,0.0
RAI_2019_Abu Dhabi,-1.15755551298281,0.2659434580332723,0.2440940014279355,-1.1042226875383805,17.0,13.0,0,1,0,4.0
VET_2019_Abu Dhabi,1.0270287199532642,-0.5738779883875882,1.4645640085676137,1.1203059654922536,4.0,5.0,1,1,1,-1.0
NOR_2019_Abu Dhabi,-0.7721784552691643,0.2659434580332723,1.0577406728543877,-0.665526429657991,6.0,8.0,1,1,0,-2.0
KUB_2019_Abu Dhabi,-1.903711092811387,-0.15396726517715795,-0.9763760057117428,0.5553046031204154,19.0,19.0,0,1,0,0.0
GIO_2019_Abu Dhabi,-1.411740380836502,0.5458839401735591,-0.5695526699985166,-1.143365731073002,16.0,16.0,0,1,0,0.0
RUS_2020_Abu Dhabi,-0.6064836429054007,-1.5260599376624706,-0.863572552075194,1.567471059326148,16.0,15.0,0,1,0,1.0
SAI_2020_Abu Dhabi,0.5401248626239413,-0.2707525695852775,0.8142255490994688,-0.24998284612323474,6.0,6.0,1,1,1,0.0
FIT_2020_Abu Dhabi,-2.1309619882481896,-1.7352778323420028,-1.2830220773688596,0.26041260744999284,17.0,19.0,0,1,0,-2.0
HAM_2020_Abu Dhabi,1.0411171568464126,-0.2707525695852775,2.072574124980466,-0.2227571381700241,3.0,3.0,1,1,1,0.0
VER_2020_Abu Dhabi,1.3718145828913235,0.1476832197737869,-0.0246735014878626,-0.5912426031204808,1.0,1.0,1,1,1,0.0
OCO_2020_Abu Dhabi,0.30565262063761656,1.40299058785098,-0.4441230267815283,-1.2147637973216476,10.0,9.0,1,1,0,1.0
KVY_2020_Abu Dhabi,-0.2399776935677227,0.9845547984919156,-0.863572552075194,0.33285572354552195,7.0,11.0,0,1,0,-4.0
ALB_2020_Abu Dhabi,0.8314983181466882,0.35690111445331907,-0.4441230267815283,0.314831989662786,5.0,4.0,1,1,1,1.0
STR_2020_Abu Dhabi,0.04116008323380366,-0.47997046426480966,-1.2830220773688596,-0.5201391944199142,8.0,10.0,1,1,0,-2.0
LEC_2020_Abu Dhabi,0.18727193565840142,-0.2707525695852775,1.6531245996868003,0.9162099254512406,12.0,13.0,0,1,0,-1.0
PER_2020_Abu Dhabi,0.39370234330822096,0.35690111445331907,-0.863572552075194,-0.28473307109758916,19.0,20.0,0,0,0,-1.0
GAS_2020_Abu Dhabi,0.03782449485408274,1.8214263772100443,-0.4441230267815283,-0.32972850608334375,9.0,8.0,1,1,0,1.0
RAI_2020_Abu Dhabi,-0.9802657525153929,-1.1076241483034062,-0.4441230267815283,1.5791423231417974,15.0,12.0,0,1,0,3.0
LAT_2020_Abu Dhabi,-2.187699693204364,0.7753369038123834,0.8142255490994688,0.4526825257081628,18.0,17.0,0,1,0,1.0
VET_2020_Abu Dhabi,-0.04286731227301062,-0.898406253623874,-0.0246735014878626,0.5020385410270716,13.0,14.0,0,1,0,-1.0
NOR_2020_Abu Dhabi,0.6318535430662803,-0.2707525695852775,0.8142255490994688,-1.5585536753475058,4.0,5.0,1,1,1,-1.0
BOT_2020_Abu Dhabi,0.806236141447323,0.9845547984919156,0.8142255490994688,-0.9537438636289493,2.0,2.0,1,1,1,0.0
RIC_2021_Abu Dhabi,-0.020013860782720178,-0.05874734954460633,-0.9797811125392509,0.1652122095763505,10.0,12.0,0,1,0,-2.0
BOT_2021_Abu Dhabi,1.0006162507613159,1.6155521124766266,1.3967092455346775,-0.31419387855689973,6.0,6.0,1,1,1,0.0
SAI_2021_Abu Dhabi,-0.02639564707462113,1.0574522918028821,1.0006275191890228,1.5530613944064764,5.0,3.0,1,1,1,2.0
MSC_2021_Abu Dhabi,-1.1178635965785595,-1.1749469908920949,-0.9797811125392509,0.21250318834753307,19.0,14.0,0,1,0,5.0
HAM_2021_Abu Dhabi,1.968824537935533,0.7784023814660102,2.188872698225987,1.3021160740439284,2.0,2.0,1,1,1,0.0
VER_2021_Abu Dhabi,1.1742920310877583,-0.33779725988147846,0.6045457928433681,0.7242786548327705,1.0,1.0,1,1,1,0.0
OCO_2021_Abu Dhabi,0.3016282142785542,-0.33779725988147846,-0.9797811125392509,0.23107782720677955,9.0,9.0,1,1,0,0.0
TSU_2021_Abu Dhabi,0.3232351223821579,-0.05874734954460633,0.6045457928433681,-1.0827205766584143,8.0,4.0,1,1,1,4.0
STR_2021_Abu Dhabi,-0.08975767807915139,0.22030256079226582,-0.18761765984794143,-0.39146549697089006,13.0,13.0,0,1,0,0.0
LEC_2021_Abu Dhabi,0.3319872876899465,-0.6168471702183507,0.6045457928433681,-0.06213742719726529,7.0,10.0,1,1,0,-3.0
ALO_2021_Abu Dhabi,0.37451734098249895,-0.33779725988147846,-0.9797811125392509,-0.1780079035772048,11.0,8.0,1,1,0,3.0
PER_2021_Abu Dhabi,0.8659149565711153,-0.05874734954460633,0.6045457928433681,-0.11698593265276878,4.0,15.0,0,0,0,-11.0
GAS_2021_Abu Dhabi,0.5509281729676194,1.6155521124766266,0.20846406649771332,0.9674537406891142,12.0,5.0,1,1,1,7.0
RAI_2021_Abu Dhabi,-0.5139186052350819,-0.05874734954460633,-0.5836993861935962,-1.003436825183214,18.0,19.0,0,0,0,-1.0
LAT_2021_Abu Dhabi,-1.8251479555143062,-0.8958970805552228,1.0006275191890228,-0.15771092276558218,16.0,16.0,0,0,0,0.0
VET_2021_Abu Dhabi,-0.8369737912316921,1.8946020228134988,-0.5836993861935962,-0.789885393835573,15.0,11.0,0,1,0,4.0
NOR_2021_Abu Dhabi,-0.006338602489292004,-1.7330468115658393,-0.9797811125392509,0.29526006083321643,3.0,7.0,1,1,0,-4.0
GIO_2021_Abu Dhabi,-0.3126643882619315,-0.33779725988147846,-1.3758628388849057,-0.5151682654226695,14.0,17.0,0,0,0,-3.0
RIC_2022_Abu Dhabi,-0.3819055275972117,-2.174231807010762,0.051397380108683964,-0.0011007387007722358,13.0,9.0,1,1,0,4.0
BOT_2022_Abu Dhabi,-1.1992775595196383,0.18425693279752223,-1.1821397424997224,-0.7813866729683149,18.0,15.0,0,1,0,3.0
RUS_2022_Abu Dhabi,0.8895473065193593,0.6264735715115756,0.051397380108683964,1.0534785843579866,6.0,5.0,1,1,1,1.0
HAM_2022_Abu Dhabi,1.4996851539877842,-0.7001763446305844,2.5184716253254966,0.7032171957460004,5.0,18.0,0,0,0,-13.0
OCO_2022_Abu Dhabi,0.4484136549706114,0.6264735715115756,-0.5653711811955192,-0.6142922065022978,8.0,7.0,1,1,0,1.0
ALB_2022_Abu Dhabi,-0.21675623364203878,0.4790680252735578,0.051397380108683964,-0.18316153670810412,19.0,13.0,0,1,0,6.0
TSU_2022_Abu Dhabi,-0.5928882713755177,1.3635013027016645,-0.5653711811955192,0.2685997014748012,11.0,11.0,0,1,0,0.0
MAG_2022_Abu Dhabi,-1.2315789749738564,-0.2579597059165311,-0.5653711811955192,-0.21588760932334022,16.0,17.0,0,1,0,-1.0
LEC_2022_Abu Dhabi,0.7677590067697695,1.2160957564636468,1.2849345027170902,0.5351623938479745,3.0,2.0,1,1,1,1.0
PER_2022_Abu Dhabi,1.566680682337262,-0.5527707983925667,0.051397380108683964,-0.7868177390882444,2.0,3.0,1,1,1,-1.0
GAS_2022_Abu Dhabi,-0.689765931679321,0.18425693279752223,-0.5653711811955192,0.4783066747364618,17.0,14.0,0,1,0,3.0
VET_2022_Abu Dhabi,-0.8599133057969989,-0.99498743710662,-0.5653711811955192,-0.4561180468721542,9.0,10.0,1,1,0,-1.0
RIC_2019_Australia,0.10351641202024528,-1.4918180512780237,0.13263707095903643,0.261294267551055,12.0,19.0,0,0,0,-7.0
BOT_2019_Australia,1.2903804519147728,1.149943081193478,-1.1937336386313326,-1.3499512467688022,2.0,1.0,1,1,1,1.0
RUS_2019_Australia,-2.1966250817242927,0.06215908546991857,0.13263707095903643,-0.22482298747528287,19.0,16.0,0,1,0,3.0
