,pace_lap,num_laps,num_stints,overall_speed,pace_s1,pace_s2,pace_s3,soft_fastest_lap,medium_fastest_lap,GridPosition_std,GridPosition,Position_std,Position,points finish?,finish?,top six finish?,places made
RIC_2019_Abu Dhabi,0.295254824,-2.393491122,-0.976376006,-0.201750613,0.380163677,0.653687368,-0.056584052,0.065950634,-0.006630206,0.591607979,7,-0.084515426,11,0,1,0,-4
BOT_2019_Abu Dhabi,1.648825036,0.405913699,1.057740673,-0.475750986,0.838738671,1.318946024,1.781372737,1.551069311,1.162506194,-1.605793085,20,1.098700532,4,1,1,1,16
RUS_2019_Abu Dhabi,-1.382065957,0.825824422,1.871387344,-0.261317484,-2.195417023,-1.857684882,-1.150547873,-1.672698236,,-1.267731383,18,-1.098700532,17,0,1,0,1
SAI_2019_Abu Dhabi,-0.160924368,1.385705387,0.244094001,0.468178843,0.022555017,-0.158260051,-0.208682905,-0.01710236,0.055471727,0.422577128,8,0.084515426,10,1,1,0,-2
HAM_2019_Abu Dhabi,1.573077165,0.54588394,-0.56955267,-0.12842843,0.21509547,0.981737317,1.924718731,1.212300518,,1.605793085,1,1.605793085,1,1,1,1,0
VER_2019_Abu Dhabi,1.609291676,0.125973217,-0.976376006,-0.726134035,1.392644668,1.33096689,1.595840836,1.212300518,1.060983033,1.436762234,2,1.436762234,2,1,1,1,0
HUL_2019_Abu Dhabi,-0.144330118,-0.153967265,0.244094001,-0.14368983,-0.078411316,0.109365905,-0.289610974,-0.488100263,-0.213456646,0.253546277,9,-0.253546277,12,0,1,0,-3
KVY_2019_Abu Dhabi,-0.313005791,0.825824422,0.244094001,0.632478559,-0.408547739,-0.00348304,-0.107666308,0.026609742,-0.028770896,-0.422577128,13,0.253546277,9,1,1,0,4
ALB_2019_Abu Dhabi,0.474537801,0.685854181,0.244094001,0.089413421,0.827233206,0.303573141,0.705632082,0.817798795,0.536086691,0.929669681,5,0.76063883,6,1,1,1,-1
MAG_2019_Abu Dhabi,-0.040860087,-0.573877988,-0.56955267,0.873381713,-0.282222425,-0.078752841,-0.182280839,-0.442202555,0.054391693,-0.591607979,14,-0.591607979,14,0,1,0,0
STR_2019_Abu Dhabi,-0.08166242,0.685854181,-1.383199341,-0.561030466,-0.447681976,-0.390202549,-0.13016546,-0.338386312,0.133234148,-0.253546277,12,-1.605793085,20,0,0,0,-8
LEC_2019_Abu Dhabi,0.373800941,-0.293937506,1.464564009,1.136474405,1.561939379,0.7265411,0.188725567,1.129247524,1.133885303,1.267731383,3,1.267731383,3,1,1,1,0
PER_2019_Abu Dhabi,-0.057942404,-0.153967265,-0.976376006,-0.101818185,-0.206615078,-0.081094568,0.01473022,0.174138088,0.137014266,0.084515426,10,0.591607979,7,1,1,0,3
