,pace_lap,num_laps,num_stints,overall_speed,GridPosition,Position,points finish?,finish?,top six finish?,places made
VAN_2018_Abu Dhabi,-0.5684214214995182,-0.9209719947109047,0.3670984111337117,0.05818057308842173,18.0,14.0,0,1,0,4.0
HAM_2018_Abu Dhabi,1.0344242199276787,0.6669107547906552,1.202563760610435,0.5685810876281308,1.0,1.0,1,1,1,0.0
VER_2018_Abu Dhabi,1.3560662036093674,0.5398801348305304,-0.18987848851743702,-0.25087044351419713,6.0,3.0,1,1,1,3.0
OCO_2018_Abu Dhabi,0.48533693794478755,-0.0317576549900312,-0.4683669383430114,2.077380564746476,9.0,17.0,0,0,0,-8.0
HAR_2018_Abu Dhabi,-0.011738324830345565,0.9209719947109047,0.6455868609592861,-0.2148054075699864,16.0,12.0,0,1,0,4.0
HUL_2018_Abu Dhabi,0.2797778853498198,0.6669107547906552,0.6455868609592861,-0.6064354079538717,10.0,20.0,0,0,0,-10.0
MAG_2018_Abu Dhabi,-0.09529228637944201,-0.0317576549900312,-0.18987848851743702,0.142431031618835,13.0,10.0,1,1,0,3.0
STR_2018_Abu Dhabi,-0.32134287272989187,0.5398801348305304,0.08860996130813734,0.28389371062792634,20.0,13.0,0,1,0,7.0
ALO_2018_Abu Dhabi,-0.012897008426557995,-0.0317576549900312,0.3670984111337117,-0.5248750123306167,15.0,11.0,0,1,0,4.0
PER_2018_Abu Dhabi,0.16782544692713097,0.2223035849302184,0.08860996130813734,-0.9087308819659868,14.0,8.0,1,1,0,6.0
GAS_2018_Abu Dhabi,0.0799264218922379,-0.34933420489034317,0.08860996130813734,1.0248071348388512,17.0,16.0,0,0,0,1.0
ERI_2018_Abu Dhabi,-0.30474043922256416,0.79394137475078,0.3670984111337117,1.0362891743950025,12.0,18.0,0,0,0,-6.0
GRO_2018_Abu Dhabi,-0.08483194835807978,0.0952729649700936,-0.18987848851743702,-0.6485228408194434,7.0,9.0,1,1,0,-2.0
RAI_2018_Abu Dhabi,0.8303671643724894,1.111517924651092,1.202563760610435,-0.40164284537409256,4.0,19.0,0,0,0,-15.0
VET_2018_Abu Dhabi,1.176684817018205,0.6669107547906552,1.481052210436009,1.0265220130036787,3.0,2.0,1,1,1,1.0
RIC_2018_Abu Dhabi,0.8678312673166912,-0.2223035849302184,-0.4683669383430114,0.45329380701910066,5.0,4.0,1,1,1,1.0
SAI_2018_Abu Dhabi,0.09428122422309192,0.6033954448105928,0.08860996130813734,0.7953231499118197,11.0,6.0,1,1,1,5.0
BOT_2018_Abu Dhabi,1.0143081852712128,1.111517924651092,1.481052210436009,-0.40876228601897446,2.0,5.0,1,1,1,-3.0
SIR_2018_Abu Dhabi,-1.1386592765123107,-0.158788274950156,-1.0253438379941602,-0.8557056181507499,19.0,15.0,0,1,0,4.0
LEC_2018_Abu Dhabi,-0.004528738009468213,-1.3020638545912793,-1.3038322878197344,-0.6183924570495503,8.0,7.0,1,1,0,1.0
RIC_2019_Abu Dhabi,0.26245679906756303,-2.3934911222994524,-0.9763760057117428,-0.20175061320620377,7.0,11.0,0,1,0,-4.0
BOT_2019_Abu Dhabi,1.6743268419146284,0.4059136991034157,1.0577406728543877,-0.475750986430572,20.0,4.0,1,1,1,16.0
RUS_2019_Abu Dhabi,-1.1460193267632097,0.8258244223138459,1.8713873442808397,-0.2613174839095247,18.0,17.0,0,1,0,1.0
SAI_2019_Abu Dhabi,-0.21337055762642274,1.3857053865944196,0.2440940014279355,0.46817884313924046,8.0,10.0,1,1,0,-2.0
HAM_2019_Abu Dhabi,1.5953164221711627,0.5458839401735591,-0.5695526699985166,-0.12842842977477387,1.0,1.0,1,1,1,0.0
VER_2019_Abu Dhabi,1.633090733672227,0.12597321696312888,-0.9763760057117428,-0.7261340349054479,2.0,2.0,1,1,1,0.0
HUL_2019_Abu Dhabi,-0.19606157391973564,-0.15396726517715795,0.2440940014279355,-0.14368983008677383,9.0,12.0,0,1,0,-3.0
KVY_2019_Abu Dhabi,-0.11817114723964371,0.8258244223138459,0.2440940014279355,0.63247855949508,13.0,9.0,1,1,0,4.0
ALB_2019_Abu Dhabi,0.44946170078847714,0.6858541812437026,0.2440940014279355,0.08941342120022544,5.0,6.0,1,1,1,-1.0
MAG_2019_Abu Dhabi,-0.08813496963098082,-0.5738779883875882,-0.5695526699985166,0.8733817132406482,14.0,14.0,0,1,0,0.0
STR_2019_Abu Dhabi,-0.1306947060391879,0.6858541812437026,-1.3831993414249688,-0.56103046570407,12.0,20.0,0,0,0,-8.0
LEC_2019_Abu Dhabi,0.3443859879337649,-0.29393750624730136,1.4645640085676137,1.136474405349925,3.0,3.0,1,1,1,0.0
PER_2019_Abu Dhabi,-0.10595304109374694,-0.15396726517715795,-0.9763760057117428,-0.10181818524795977,10.0,7.0,1,1,0,3.0
GAS_2019_Abu Dhabi,0.162336206359903,0.4059136991034157,0.2440940014279355,0.2720516851555845,11.0,18.0,0,1,0,-7.0
GRO_2019_Abu Dhabi,0.1890633135540522,-2.6734316044397395,-1.3831993414249688,0.3654456813413837,15.0,15.0,0,1,0,0.0
RAI_2019_Abu Dhabi,-0.937547890648846,0.2659434580332723,0.2440940014279355,-1.1042226875383805,17.0,13.0,0,1,0,4.0
VET_2019_Abu Dhabi,1.0257490406699417,-0.5738779883875882,1.4645640085676137,1.1203059654922536,4.0,5.0,1,1,1,-1.0
NOR_2019_Abu Dhabi,-0.8509520633398027,0.2659434580332723,1.0577406728543877,-0.665526429657991,6.0,8.0,1,1,0,-2.0
KUB_2019_Abu Dhabi,-2.031221117033431,-0.15396726517715795,-0.9763760057117428,0.5553046031204154,19.0,19.0,0,1,0,0.0
GIO_2019_Abu Dhabi,-1.5180606589057664,0.5458839401735591,-0.5695526699985166,-1.143365731073002,16.0,16.0,0,1,0,0.0
RIC_2020_Abu Dhabi,0.49288596374810584,-1.3166595175008033,-0.8575438113871239,0.6003995892639065,11.0,7.0,1,1,0,4.0
RUS_2020_Abu Dhabi,-0.1599169644273062,0.03061998877908845,-0.09270743906887818,1.6689412454316965,16.0,15.0,0,1,0,1.0
SAI_2020_Abu Dhabi,0.6648340544955067,0.39805985412814987,0.9270743906887827,-0.0447334717011742,6.0,6.0,1,1,1,0.0
