Year,GP,FP
2019,Abu Dhabi,"FP1,FP2,FP3"
2020,Abu Dhabi,"FP1,FP2,FP3"
2021,Abu Dhabi,"FP1,FP2,FP3"
2022,Abu Dhabi,"FP1,FP2,FP3"
2019,Australia,"FP1,FP2,FP3"
2022,Australia,"FP1,FP2,FP3"
2019,Austria,"FP1,FP2,FP3"
2020,Austria,"FP1,FP2,FP3"
2021,Austria,"FP1,FP2,FP3"
2019,Bahrain,"FP1,FP2,FP3"
2022,Bahrain,"FP1,FP2,FP3"
2019,Belgium,"FP1,FP2,FP3"
2020,Belgium,"FP1,FP2,FP3"
2022,Belgium,"FP1,FP2,FP3"
2019,Britain,"FP1,FP2,FP3"
2020,Britain,"FP1,FP2,FP3"
2022,Britain,"FP1,FP2,FP3"
2022,Canada,"FP1,FP2,FP3"
2019,China,"FP1,FP2,FP3"
2019,France,"FP1,FP2,FP3"
2021,France,"FP1,FP2,FP3"
2022,France,"FP1,FP2,FP3"
2019,Germany,"FP1,FP2,FP3"
2019,Hungary,"FP1,FP2,FP3"
2021,Hungary,"FP1,FP2,FP3"
2022,Hungary,"FP1,FP2,FP3"
2019,Italy,"FP1,FP2,FP3"
2020,Italy,"FP1,FP2,FP3"
2022,Japan,"FP1,FP2,FP3"
2021,Mexico,"FP1,FP2,FP3"
2020,Portugal,"FP1,FP2,FP3"
2021,Portugal,"FP1,FP2,FP3"
2021,Qatar,"FP1,FP2,FP3"
2019,Russia,"FP1,FP2,FP3"
2020,Russia,"FP1,FP2,FP3"
2021,Saudi Arabia,"FP1,FP2,FP3"
2022,Saudi Arabia,"FP1,FP2,FP3"
2019,Singapore,"FP1,FP2,FP3"
2021,Singapore,"FP1,FP2,FP3"
2022,Singapore,"FP1,FP2,FP3"
2019,Spain,"FP1,FP2,FP3"
2020,Spain,"FP1,FP2,FP3"
2021,Spain,"FP1,FP2,FP3"
2020,Turkey,"FP1,FP2,FP3"
